DOCID;DOCPOS;DOCTIME;ITEMID;SALES_VALUE;SALES_QUANTITY;PURCHASE_VALUE;PURCHASE_QUANTITY;CURRENCY;UNIT
0000001017;0002;2020-04-08 12:57:10.000;ITM0000001;2.99;1;0;0;EUR;KG
0000001018;0001;2020-04-08 13:07:10.000;ITM0000017;18.36;4;0;0;EUR;KG
0000001019;0001;2020-04-08 13:17:10.000;ITM0000019;31.92;8;0;0;EUR;KG
0000001019;0002;2020-04-08 13:17:10.000;ITM0000003;10.43;7;0;0;EUR;KG
0000001020;0001;2020-04-08 13:27:10.000;ITM0000013;2.58;2;0;0;EUR;L
0000001021;0001;2020-04-08 13:37:10.000;ITM0000009;14.34;6;0;0;EUR;PKG
0000001022;0001;2020-04-08 13:47:10.000;ITM0000006;3.56;4;0;0;EUR;PKG
0000001023;0001;2020-04-08 13:57:10.000;ITM0000017;13.77;3;0;0;EUR;KG
0000001024;0001;2020-04-08 14:07:10.000;ITM0000013;3.87;3;0;0;EUR;L
0000001024;0002;2020-04-08 14:07:10.000;ITM0000004;11.12;8;0;0;EUR;KG
0000001025;0001;2020-04-08 14:17:10.000;ITM0000001;11.96;4;0;0;EUR;KG
0000001026;0001;2020-04-08 14:27:10.000;ITM0000005;23.12;8;0;0;EUR;KG
0000001026;0002;2020-04-08 14:27:10.000;ITM0000019;15.96;4;0;0;EUR;KG
0000001027;0001;2020-04-08 14:37:10.000;ITM0000018;62.45;5;0;0;EUR;KG
0000001027;0002;2020-04-08 14:37:10.000;ITM0000018;87.43;7;0;0;EUR;KG
0000001028;0001;2020-04-08 14:47:10.000;ITM0000004;12.51;9;0;0;EUR;KG
0000001028;0002;2020-04-08 14:47:10.000;ITM0000008;20.72;8;0;0;EUR;PKG
0000001029;0001;2020-04-08 14:57:10.000;ITM0000014;4.77;3;0;0;EUR;L
0000001029;0002;2020-04-08 14:57:10.000;ITM0000005;20.23;7;0;0;EUR;KG
0000001030;0001;2020-04-08 15:07:10.000;ITM0000013;10.32;8;0;0;EUR;L
0000001031;0001;2020-04-08 15:17:10.000;ITM0000012;4.86;9;0;0;EUR;L
0000001031;0002;2020-04-08 15:17:10.000;ITM0000004;2.78;2;0;0;EUR;KG
0000001032;0001;2020-04-08 15:27:10.000;ITM0000007;14.45;5;0;0;EUR;PKG
0000001032;0002;2020-04-08 15:27:10.000;ITM0000011;1.95;5;0;0;EUR;L
0000001033;0001;2020-04-08 15:37:10.000;ITM0000018;99.92;8;0;0;EUR;KG
0000001034;0001;2020-04-08 15:47:10.000;ITM0000004;11.12;8;0;0;EUR;KG
0000001034;0002;2020-04-08 15:47:10.000;ITM0000005;11.56;4;0;0;EUR;KG
0000001035;0001;2020-04-08 15:57:10.000;ITM0000015;18.32;8;0;0;EUR;L
0000001035;0002;2020-04-08 15:57:10.000;ITM0000001;23.92;8;0;0;EUR;KG
0000001036;0001;2020-04-08 16:07:10.000;ITM0000005;8.67;3;0;0;EUR;KG
0000001036;0002;2020-04-08 16:07:10.000;ITM0000003;13.41;9;0;0;EUR;KG
0000001037;0001;2020-04-08 16:17:10.000;ITM0000004;8.34;6;0;0;EUR;KG
0000001038;0001;2020-04-08 16:27:10.000;ITM0000015;16.03;7;0;0;EUR;L
0000001039;0001;2020-04-08 16:37:10.000;ITM0000008;15.54;6;0;0;EUR;PKG
0000001039;0002;2020-04-08 16:37:10.000;ITM0000017;22.95;5;0;0;EUR;KG
0000001040;0001;2020-04-08 16:47:10.000;ITM0000001;2.99;1;0;0;EUR;KG
0000001041;0001;2020-04-08 16:57:10.000;ITM0000007;26.01;9;0;0;EUR;PKG
0000001042;0001;2020-04-08 17:07:10.000;ITM0000020;39.45;5;0;0;EUR;KG
0000001042;0002;2020-04-08 17:07:10.000;ITM0000017;18.36;4;0;0;EUR;KG
0000001043;0001;2020-04-08 17:17:10.000;ITM0000001;17.94;6;0;0;EUR;KG
0000001043;0002;2020-04-08 17:17:10.000;ITM0000014;11.13;7;0;0;EUR;L
0000001044;0001;2020-04-08 17:27:10.000;ITM0000011;0.39;1;0;0;EUR;L
0000001044;0002;2020-04-08 17:27:10.000;ITM0000014;6.36;4;0;0;EUR;L
0000001045;0001;2020-04-08 17:37:10.000;ITM0000009;21.51;9;0;0;EUR;PKG
0000001046;0001;2020-04-08 17:47:10.000;ITM0000009;9.56;4;0;0;EUR;PKG
0000001047;0001;2020-04-08 17:57:10.000;ITM0000009;16.73;7;0;0;EUR;PKG
0000001048;0001;2020-04-08 18:07:10.000;ITM0000009;11.95;5;0;0;EUR;PKG
0000001049;0001;2020-04-08 18:17:10.000;ITM0000003;4.47;3;0;0;EUR;KG
0000001049;0002;2020-04-08 18:17:10.000;ITM0000013;9.03;7;0;0;EUR;L
0000001050;0001;2020-04-08 18:27:10.000;ITM0000011;1.95;5;0;0;EUR;L
0000001051;0001;2020-04-08 18:37:10.000;ITM0000017;41.31;9;0;0;EUR;KG
0000001052;0001;2020-04-08 18:47:10.000;ITM0000006;7.12;8;0;0;EUR;PKG
0000001053;0001;2020-04-08 18:57:10.000;ITM0000018;62.45;5;0;0;EUR;KG
0000001053;0002;2020-04-08 18:57:10.000;ITM0000001;8.97;3;0;0;EUR;KG
0000001054;0001;2020-04-08 19:07:10.000;ITM0000012;4.86;9;0;0;EUR;L
0000001055;0001;2020-04-08 19:17:10.000;ITM0000009;16.73;7;0;0;EUR;PKG
0000001056;0001;2020-04-08 19:27:10.000;ITM0000013;1.29;1;0;0;EUR;L
0000001057;0001;2020-04-08 19:37:10.000;ITM0000012;1.08;2;0;0;EUR;L
0000001058;0001;2020-04-08 19:47:10.000;ITM0000011;0.39;1;0;0;EUR;L
0000001058;0002;2020-04-08 19:47:10.000;ITM0000008;12.95;5;0;0;EUR;PKG
0000001059;0001;2020-04-08 19:57:10.000;ITM0000018;87.43;7;0;0;EUR;KG
0000001060;0001;2020-04-08 20:07:10.000;ITM0000019;19.95;5;0;0;EUR;KG
0000001060;0002;2020-04-08 20:07:10.000;ITM0000001;20.93;7;0;0;EUR;KG
0000001061;0001;2020-04-08 20:17:10.000;ITM0000020;71.01;9;0;0;EUR;KG
0000001061;0002;2020-04-08 20:17:10.000;ITM0000001;26.91;9;0;0;EUR;KG
0000001062;0001;2020-04-08 20:27:10.000;ITM0000007;20.23;7;0;0;EUR;PKG
0000001062;0002;2020-04-08 20:27:10.000;ITM0000003;2.98;2;0;0;EUR;KG
0000001063;0001;2020-04-08 20:37:10.000;ITM0000015;18.32;8;0;0;EUR;L
0000001063;0002;2020-04-08 20:37:10.000;ITM0000011;1.56;4;0;0;EUR;L
0000001064;0001;2020-04-08 20:47:10.000;ITM0000017;36.72;8;0;0;EUR;KG
0000001065;0001;2020-04-08 20:57:10.000;ITM0000020;71.01;9;0;0;EUR;KG
0000001066;0001;2020-04-08 21:07:10.000;ITM0000013;10.32;8;0;0;EUR;L
0000001066;0002;2020-04-08 21:07:10.000;ITM0000005;2.89;1;0;0;EUR;KG
0000001067;0001;2020-04-08 21:17:10.000;ITM0000003;7.45;5;0;0;EUR;KG
0000001068;0001;2020-04-08 21:27:10.000;ITM0000003;11.92;8;0;0;EUR;KG
0000001069;0001;2020-04-08 21:37:10.000;ITM0000007;14.45;5;0;0;EUR;PKG
0000001070;0001;2020-04-08 21:47:10.000;ITM0000006;0.89;1;0;0;EUR;PKG
0000001070;0002;2020-04-08 21:47:10.000;ITM0000018;112.41;9;0;0;EUR;KG
0000001071;0001;2020-04-08 21:57:10.000;ITM0000009;4.78;2;0;0;EUR;PKG
0000001071;0002;2020-04-08 21:57:10.000;ITM0000019;3.99;1;0;0;EUR;KG
0000001072;0001;2020-04-08 22:07:10.000;ITM0000004;11.12;8;0;0;EUR;KG
0000001072;0002;2020-04-08 22:07:10.000;ITM0000008;12.95;5;0;0;EUR;PKG
0000001073;0001;2020-04-08 22:17:10.000;ITM0000014;3.18;2;0;0;EUR;L
0000001074;0001;2020-04-08 22:27:10.000;ITM0000019;15.96;4;0;0;EUR;KG
0000001075;0001;2020-04-08 22:37:10.000;ITM0000004;8.34;6;0;0;EUR;KG
0000001075;0002;2020-04-08 22:37:10.000;ITM0000004;2.78;2;0;0;EUR;KG
0000001076;0001;2020-04-08 22:47:10.000;ITM0000004;4.17;3;0;0;EUR;KG
0000001077;0001;2020-04-08 22:57:10.000;ITM0000012;3.78;7;0;0;EUR;L
0000001078;0001;2020-04-08 23:07:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001079;0001;2020-04-08 23:17:10.000;ITM0000007;2.89;1;0;0;EUR;PKG
0000001080;0001;2020-04-08 23:27:10.000;ITM0000006;8.01;9;0;0;EUR;PKG
0000001080;0002;2020-04-08 23:27:10.000;ITM0000008;15.54;6;0;0;EUR;PKG
0000001081;0001;2020-04-08 23:37:10.000;ITM0000014;14.31;9;0;0;EUR;L
0000001082;0001;2020-04-08 23:47:10.000;ITM0000009;7.17;3;0;0;EUR;PKG
0000001083;0001;2020-04-08 23:57:10.000;ITM0000001;17.94;6;0;0;EUR;KG
0000001083;0002;2020-04-08 23:57:10.000;ITM0000005;26.01;9;0;0;EUR;KG
0000001084;0001;2020-04-09 00:07:10.000;ITM0000014;3.18;2;0;0;EUR;L
0000001084;0002;2020-04-09 00:07:10.000;ITM0000008;5.18;2;0;0;EUR;PKG
0000001085;0001;2020-04-09 00:17:10.000;ITM0000020;55.23;7;0;0;EUR;KG
0000001086;0001;2020-04-09 00:27:10.000;ITM0000006;3.56;4;0;0;EUR;PKG
0000001087;0001;2020-04-09 00:37:10.000;ITM0000012;3.78;7;0;0;EUR;L
0000001087;0002;2020-04-09 00:37:10.000;ITM0000014;4.77;3;0;0;EUR;L
0000001088;0001;2020-04-09 00:47:10.000;ITM0000009;7.17;3;0;0;EUR;PKG
0000001088;0002;2020-04-09 00:47:10.000;ITM0000020;23.67;3;0;0;EUR;KG
0000001089;0001;2020-04-09 00:57:10.000;ITM0000016;3.59;1;0;0;EUR;KG
0000001090;0001;2020-04-09 01:07:10.000;ITM0000007;26.01;9;0;0;EUR;PKG
0000001090;0002;2020-04-09 01:07:10.000;ITM0000020;71.01;9;0;0;EUR;KG
0000001091;0001;2020-04-09 01:17:10.000;ITM0000018;24.98;2;0;0;EUR;KG
0000001092;0001;2020-04-09 01:27:10.000;ITM0000001;14.95;5;0;0;EUR;KG
0000001093;0001;2020-04-09 01:37:10.000;ITM0000014;6.36;4;0;0;EUR;L
0000001093;0002;2020-04-09 01:37:10.000;ITM0000006;0.89;1;0;0;EUR;PKG
0000001094;0001;2020-04-09 01:47:10.000;ITM0000018;99.92;8;0;0;EUR;KG
0000001094;0002;2020-04-09 01:47:10.000;ITM0000009;2.39;1;0;0;EUR;PKG
0000001095;0001;2020-04-09 01:57:10.000;ITM0000003;1.49;1;0;0;EUR;KG
0000001096;0001;2020-04-09 02:07:10.000;ITM0000020;31.56;4;0;0;EUR;KG
0000001097;0001;2020-04-09 02:17:10.000;ITM0000004;5.56;4;0;0;EUR;KG
0000001097;0002;2020-04-09 02:17:10.000;ITM0000017;13.77;3;0;0;EUR;KG
0000001098;0001;2020-04-09 02:27:10.000;ITM0000005;20.23;7;0;0;EUR;KG
0000001099;0001;2020-04-09 02:37:10.000;ITM0000009;7.17;3;0;0;EUR;PKG
0000001099;0002;2020-04-09 02:37:10.000;ITM0000011;3.51;9;0;0;EUR;L
0000001100;0001;2020-04-09 02:47:10.000;ITM0000009;19.12;8;0;0;EUR;PKG
0000001100;0002;2020-04-09 02:47:10.000;ITM0000003;11.92;8;0;0;EUR;KG
0000001101;0001;2020-04-09 02:57:10.000;ITM0000012;4.32;8;0;0;EUR;L
0000001101;0002;2020-04-09 02:57:10.000;ITM0000006;3.56;4;0;0;EUR;PKG
0000001102;0001;2020-04-09 03:07:10.000;ITM0000012;1.08;2;0;0;EUR;L
0000001103;0001;2020-04-09 03:17:10.000;ITM0000016;28.72;8;0;0;EUR;KG
0000001103;0002;2020-04-09 03:17:10.000;ITM0000015;2.29;1;0;0;EUR;L
0000001104;0001;2020-04-09 03:27:10.000;ITM0000015;20.61;9;0;0;EUR;L
0000001104;0002;2020-04-09 03:27:10.000;ITM0000018;24.98;2;0;0;EUR;KG
0000001105;0001;2020-04-09 03:37:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001106;0001;2020-04-09 03:47:10.000;ITM0000005;5.78;2;0;0;EUR;KG
0000001106;0002;2020-04-09 03:47:10.000;ITM0000011;0.78;2;0;0;EUR;L
0000001107;0001;2020-04-09 03:57:10.000;ITM0000011;2.34;6;0;0;EUR;L
0000001107;0002;2020-04-09 03:57:10.000;ITM0000016;14.36;4;0;0;EUR;KG
0000001108;0001;2020-04-09 04:07:10.000;ITM0000004;6.95;5;0;0;EUR;KG
0000001108;0002;2020-04-09 04:07:10.000;ITM0000008;20.72;8;0;0;EUR;PKG
0000001109;0001;2020-04-09 04:17:10.000;ITM0000005;26.01;9;0;0;EUR;KG
0000001109;0002;2020-04-09 04:17:10.000;ITM0000020;63.12;8;0;0;EUR;KG
0000001110;0001;2020-04-09 04:27:10.000;ITM0000007;23.12;8;0;0;EUR;PKG
0000001110;0002;2020-04-09 04:27:10.000;ITM0000018;112.41;9;0;0;EUR;KG
0000001111;0001;2020-04-09 04:37:10.000;ITM0000003;11.92;8;0;0;EUR;KG
0000001112;0001;2020-04-09 04:47:10.000;ITM0000006;1.78;2;0;0;EUR;PKG
0000001113;0001;2020-04-09 04:57:10.000;ITM0000004;2.78;2;0;0;EUR;KG
0000001114;0001;2020-04-09 05:07:10.000;ITM0000009;11.95;5;0;0;EUR;PKG
0000001115;0001;2020-04-09 05:17:10.000;ITM0000015;6.87;3;0;0;EUR;L
0000001115;0002;2020-04-09 05:17:10.000;ITM0000016;7.18;2;0;0;EUR;KG
0000001116;0001;2020-04-09 05:27:10.000;ITM0000012;2.16;4;0;0;EUR;L
0000001116;0002;2020-04-09 05:27:10.000;ITM0000012;2.7;5;0;0;EUR;L
0000001117;0001;2020-04-09 05:37:10.000;ITM0000016;32.31;9;0;0;EUR;KG
0000001118;0001;2020-04-09 05:47:10.000;ITM0000011;1.17;3;0;0;EUR;L
0000001119;0001;2020-04-09 05:57:10.000;ITM0000016;28.72;8;0;0;EUR;KG
0000001120;0001;2020-04-09 06:07:10.000;ITM0000013;2.58;2;0;0;EUR;L
0000001120;0002;2020-04-09 06:07:10.000;ITM0000018;62.45;5;0;0;EUR;KG
0000001121;0001;2020-04-09 06:17:10.000;ITM0000017;13.77;3;0;0;EUR;KG
0000001121;0002;2020-04-09 06:17:10.000;ITM0000011;1.56;4;0;0;EUR;L
0000001122;0001;2020-04-09 06:27:10.000;ITM0000019;3.99;1;0;0;EUR;KG
0000001122;0002;2020-04-09 06:27:10.000;ITM0000015;16.03;7;0;0;EUR;L
0000001123;0001;2020-04-09 06:37:10.000;ITM0000008;23.31;9;0;0;EUR;PKG
0000001124;0001;2020-04-09 06:47:10.000;ITM0000016;25.13;7;0;0;EUR;KG
0000001124;0002;2020-04-09 06:47:10.000;ITM0000016;32.31;9;0;0;EUR;KG
0000001125;0001;2020-04-09 06:57:10.000;ITM0000008;23.31;9;0;0;EUR;PKG
0000001125;0002;2020-04-09 06:57:10.000;ITM0000013;11.61;9;0;0;EUR;L
0000001126;0001;2020-04-09 07:07:10.000;ITM0000018;12.49;1;0;0;EUR;KG
0000001126;0002;2020-04-09 07:07:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001127;0001;2020-04-09 07:17:10.000;ITM0000005;5.78;2;0;0;EUR;KG
0000001128;0001;2020-04-09 07:27:10.000;ITM0000009;19.12;8;0;0;EUR;PKG
0000001128;0002;2020-04-09 07:27:10.000;ITM0000015;2.29;1;0;0;EUR;L
0000001129;0001;2020-04-09 07:37:10.000;ITM0000006;2.67;3;0;0;EUR;PKG
0000001130;0001;2020-04-09 07:47:10.000;ITM0000008;5.18;2;0;0;EUR;PKG
0000001131;0001;2020-04-09 07:57:10.000;ITM0000006;3.56;4;0;0;EUR;PKG
0000001132;0001;2020-04-09 08:07:10.000;ITM0000008;12.95;5;0;0;EUR;PKG
0000001132;0002;2020-04-09 08:07:10.000;ITM0000016;28.72;8;0;0;EUR;KG
0000001133;0001;2020-04-09 08:17:10.000;ITM0000014;3.18;2;0;0;EUR;L
0000001134;0001;2020-04-09 08:27:10.000;ITM0000014;14.31;9;0;0;EUR;L
0000001134;0002;2020-04-09 08:27:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001135;0001;2020-04-09 08:37:10.000;ITM0000019;3.99;1;0;0;EUR;KG
0000001135;0002;2020-04-09 08:37:10.000;ITM0000013;3.87;3;0;0;EUR;L
0000001136;0001;2020-04-09 08:47:10.000;ITM0000005;2.89;1;0;0;EUR;KG
0000001136;0002;2020-04-09 08:47:10.000;ITM0000005;2.89;1;0;0;EUR;KG
0000001137;0001;2020-04-09 08:57:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001138;0001;2020-04-09 09:07:10.000;ITM0000019;7.98;2;0;0;EUR;KG
0000001138;0002;2020-04-09 09:07:10.000;ITM0000009;21.51;9;0;0;EUR;PKG
0000001139;0001;2020-04-09 09:17:10.000;ITM0000012;2.16;4;0;0;EUR;L
0000001139;0002;2020-04-09 09:17:10.000;ITM0000009;11.95;5;0;0;EUR;PKG
0000001140;0001;2020-04-09 09:27:10.000;ITM0000013;5.16;4;0;0;EUR;L
0000001141;0001;2020-04-09 09:37:10.000;ITM0000016;21.54;6;0;0;EUR;KG
0000001142;0001;2020-04-09 09:47:10.000;ITM0000003;11.92;8;0;0;EUR;KG
0000001143;0001;2020-04-09 09:57:10.000;ITM0000004;6.95;5;0;0;EUR;KG
0000001144;0001;2020-04-09 10:07:10.000;ITM0000017;9.18;2;0;0;EUR;KG
0000001145;0001;2020-04-09 10:17:10.000;ITM0000009;16.73;7;0;0;EUR;PKG
0000001145;0002;2020-04-09 10:17:10.000;ITM0000019;35.91;9;0;0;EUR;KG
0000001146;0001;2020-04-09 10:27:10.000;ITM0000012;1.62;3;0;0;EUR;L
0000001146;0002;2020-04-09 10:27:10.000;ITM0000017;32.13;7;0;0;EUR;KG
0000001147;0001;2020-04-09 10:37:10.000;ITM0000014;9.54;6;0;0;EUR;L
0000001147;0002;2020-04-09 10:37:10.000;ITM0000007;8.67;3;0;0;EUR;PKG
0000001148;0001;2020-04-09 10:47:10.000;ITM0000009;21.51;9;0;0;EUR;PKG
0000001148;0002;2020-04-09 10:47:10.000;ITM0000008;5.18;2;0;0;EUR;PKG
0000001149;0001;2020-04-09 10:57:10.000;ITM0000005;17.34;6;0;0;EUR;KG
0000001150;0001;2020-04-09 11:07:10.000;ITM0000008;20.72;8;0;0;EUR;PKG
0000001151;0001;2020-04-09 11:17:10.000;ITM0000019;3.99;1;0;0;EUR;KG
0000001151;0002;2020-04-09 11:17:10.000;ITM0000004;8.34;6;0;0;EUR;KG
0000001152;0001;2020-04-09 11:27:10.000;ITM0000003;1.49;1;0;0;EUR;KG
0000001152;0002;2020-04-09 11:27:10.000;ITM0000008;2.59;1;0;0;EUR;PKG
0000001153;0001;2020-04-09 11:37:10.000;ITM0000005;17.34;6;0;0;EUR;KG
0000001154;0001;2020-04-09 11:47:10.000;ITM0000005;26.01;9;0;0;EUR;KG
0000001155;0001;2020-04-09 11:57:10.000;ITM0000014;3.18;2;0;0;EUR;L
0000001156;0001;2020-04-09 12:07:10.000;ITM0000005;5.78;2;0;0;EUR;KG
0000001157;0001;2020-04-09 12:17:10.000;ITM0000005;5.78;2;0;0;EUR;KG
0000001158;0001;2020-04-09 12:27:10.000;ITM0000020;39.45;5;0;0;EUR;KG
0000001159;0001;2020-04-09 12:37:10.000;ITM0000001;8.97;3;0;0;EUR;KG
0000001160;0001;2020-04-09 12:47:10.000;ITM0000020;39.45;5;0;0;EUR;KG
0000001160;0002;2020-04-09 12:47:10.000;ITM0000011;0.39;1;0;0;EUR;L
0000001161;0001;2020-04-09 12:57:10.000;ITM0000007;17.34;6;0;0;EUR;PKG
0000001161;0002;2020-04-09 12:57:10.000;ITM0000014;11.13;7;0;0;EUR;L
0000001162;0001;2020-04-09 13:07:10.000;ITM0000020;15.78;2;0;0;EUR;KG
0000001163;0001;2020-04-09 13:17:10.000;ITM0000009;7.17;3;0;0;EUR;PKG
0000001164;0001;2020-04-09 13:27:10.000;ITM0000014;7.95;5;0;0;EUR;L
0000001164;0002;2020-04-09 13:27:10.000;ITM0000013;2.58;2;0;0;EUR;L
0000001165;0001;2020-04-09 13:37:10.000;ITM0000015;16.03;7;0;0;EUR;L
0000001166;0001;2020-04-09 13:47:10.000;ITM0000006;4.45;5;0;0;EUR;PKG
0000001166;0002;2020-04-09 13:47:10.000;ITM0000008;18.13;7;0;0;EUR;PKG
0000001167;0001;2020-04-09 13:57:10.000;ITM0000009;19.12;8;0;0;EUR;PKG
0000001167;0002;2020-04-09 13:57:10.000;ITM0000008;10.36;4;0;0;EUR;PKG
0000001168;0001;2020-04-09 14:07:10.000;ITM0000013;2.58;2;0;0;EUR;L
0000001169;0001;2020-04-09 14:17:10.000;ITM0000013;9.03;7;0;0;EUR;L
0000001170;0001;2020-04-09 14:27:10.000;ITM0000015;11.45;5;0;0;EUR;L
0000001170;0002;2020-04-09 14:27:10.000;ITM0000009;16.73;7;0;0;EUR;PKG
0000001171;0001;2020-04-09 14:37:10.000;ITM0000019;27.93;7;0;0;EUR;KG
0000001172;0001;2020-04-09 14:47:10.000;ITM0000008;5.18;2;0;0;EUR;PKG
0000001172;0002;2020-04-09 14:47:10.000;ITM0000020;23.67;3;0;0;EUR;KG
0000001173;0001;2020-04-09 14:57:10.000;ITM0000020;15.78;2;0;0;EUR;KG
0000001174;0001;2020-04-09 15:07:10.000;ITM0000009;14.34;6;0;0;EUR;PKG
0000001174;0002;2020-04-09 15:07:10.000;ITM0000009;19.12;8;0;0;EUR;PKG
0000001175;0001;2020-04-09 15:17:10.000;ITM0000019;31.92;8;0;0;EUR;KG
0000001175;0002;2020-04-09 15:17:10.000;ITM0000017;13.77;3;0;0;EUR;KG
0000001176;0001;2020-04-09 15:27:10.000;ITM0000014;6.36;4;0;0;EUR;L
0000001176;0002;2020-04-09 15:27:10.000;ITM0000006;6.23;7;0;0;EUR;PKG
0000001177;0001;2020-04-09 15:37:10.000;ITM0000017;18.36;4;0;0;EUR;KG
0000001178;0001;2020-04-09 15:47:10.000;ITM0000011;3.12;8;0;0;EUR;L
0000001179;0001;2020-04-09 15:57:10.000;ITM0000014;6.36;4;0;0;EUR;L
0000001180;0001;2020-04-09 16:07:10.000;ITM0000019;11.97;3;0;0;EUR;KG
0000001180;0002;2020-04-09 16:07:10.000;ITM0000017;18.36;4;0;0;EUR;KG
0000001181;0001;2020-04-09 16:17:10.000;ITM0000003;8.94;6;0;0;EUR;KG
0000001181;0002;2020-04-09 16:17:10.000;ITM0000011;3.12;8;0;0;EUR;L
0000001182;0001;2020-04-09 16:27:10.000;ITM0000013;9.03;7;0;0;EUR;L
0000001183;0001;2020-04-09 16:37:10.000;ITM0000006;5.34;6;0;0;EUR;PKG
0000001184;0001;2020-04-09 16:47:10.000;ITM0000011;3.12;8;0;0;EUR;L
0000001184;0002;2020-04-09 16:47:10.000;ITM0000013;9.03;7;0;0;EUR;L
0000001185;0001;2020-04-09 16:57:10.000;ITM0000009;16.73;7;0;0;EUR;PKG
0000001185;0002;2020-04-09 16:57:10.000;ITM0000009;11.95;5;0;0;EUR;PKG
0000001186;0001;2020-04-09 17:07:10.000;ITM0000009;9.56;4;0;0;EUR;PKG
0000001186;0002;2020-04-09 17:07:10.000;ITM0000018;37.47;3;0;0;EUR;KG
0000001187;0001;2020-04-09 17:17:10.000;ITM0000005;8.67;3;0;0;EUR;KG
0000001188;0001;2020-04-09 17:27:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001189;0001;2020-04-09 17:37:10.000;ITM0000001;26.91;9;0;0;EUR;KG
0000001189;0002;2020-04-09 17:37:10.000;ITM0000012;4.86;9;0;0;EUR;L
0000001190;0001;2020-04-09 17:47:10.000;ITM0000012;1.62;3;0;0;EUR;L
0000001190;0002;2020-04-09 17:47:10.000;ITM0000013;7.74;6;0;0;EUR;L
0000001191;0001;2020-04-09 17:57:10.000;ITM0000020;15.78;2;0;0;EUR;KG
0000001191;0002;2020-04-09 17:57:10.000;ITM0000011;2.73;7;0;0;EUR;L
0000001192;0001;2020-04-09 18:07:10.000;ITM0000011;0.39;1;0;0;EUR;L
0000001192;0002;2020-04-09 18:07:10.000;ITM0000001;14.95;5;0;0;EUR;KG
0000001193;0001;2020-04-09 18:17:10.000;ITM0000014;14.31;9;0;0;EUR;L
0000001194;0001;2020-04-09 18:27:10.000;ITM0000020;31.56;4;0;0;EUR;KG
0000001194;0002;2020-04-09 18:27:10.000;ITM0000020;23.67;3;0;0;EUR;KG
0000001195;0001;2020-04-09 18:37:10.000;ITM0000015;16.03;7;0;0;EUR;L
0000001196;0001;2020-04-09 18:47:10.000;ITM0000008;20.72;8;0;0;EUR;PKG
0000001197;0001;2020-04-09 18:57:10.000;ITM0000014;4.77;3;0;0;EUR;L
